comp1,comp2,weight
gcp,mlflow,38
mongodb,spark,38
data engineer,datalake,38
api,power bi,38
llm,llms,38
numpy,r,38
looker,python,38
r,transformers,38
ci/cd,datalake,38
kafka,r,38
git,mongodb,38
autonomie,llm,38
machine learning,postgresql,38
intelligence artificielle,scala,38
spark,tableau,38
keras,scikit-learn,38
java,postgresql,38
keras,r,37
gcp,talend,37
pytorch,spark,37
autonomie,linux,37
mongodb,scala,37
airflow,ci/cd,37
ci/cd,llm,37
llm,rag,37
management,qlik,37
mysql,sql,37
big data,deep learning,37
apis,data engineer,37
apis,scala,37
langchain,tensorflow,37
llms,tensorflow,37
agile,gcp,37
ci/cd,pandas,37
spark,tensorflow,37
deep learning,langchain,37
llm,mlops,36
airflow,devops,36
langchain,scikit-learn,36
devops,scikit-learn,36
mysql,postgresql,36
mysql,python,36
agile,postgresql,36
keras,nlp,36
rag,sql,36
mlflow,mlops,36
git,linux,36
mlops,pandas,36
bigquery,git,36
autonomie,langchain,36
rigueur scientifique,tensorflow,36
azure,llm,36
excel,r,36
hadoop,management,36
linux,postgresql,36
ci/cd,scikit-learn,36
devops,pytorch,35
deep learning,keras,35
azure,numpy,35
gcp,llm,35
devops,tensorflow,35
gcp,kafka,35
airflow,datalake,35
azure,qlik,35
mlflow,r,35
agile,qlik,35
management,scikit-learn,35
qlik,r,35
ci/cd,talend,35
deep learning,llm,35
keras,management,35
java,kafka,35
scikit-learn,spark,35
ci/cd,nlp,35
mlops,r,35
scala,snowflake,35
langchain,nlp,35
bigquery,looker,35
apis,nlp,35
big data,pytorch,34
airflow,management,34
devops,r,34
databricks,devops,34
ci/cd,mlflow,34
apis,autonomie,34
excel,tableau,34
sql,streamlit,34
databricks,talend,34
matplotlib,pytorch,34
rigueur,spark,34
machine learning,tableau,34
machine learning,seaborn,34
power bi,scala,34
git,mlflow,34
data engineer,mlops,34
big data,scikit-learn,34
python,seaborn,34
matplotlib,seaborn,34
rag,transformers,34
docker,linux,33
api,big data,33
java,snowflake,33
aws,llms,33
large language models,llm,33
docker,power bi,33
seaborn,tensorflow,33
autonomie,qlik sense,33
apis,azure,33
databricks,git,33
kubernetes,r,33
aws,llm,33
intelligence artificielle,mongodb,33
scikit-learn,seaborn,33
langchain,sql,33
python,rest,33
airflow,gcp,32
datalake,git,32
mongodb,snowflake,32
datalake,scala,32
docker,kafka,32
qlik sense,talend,32
agile,kafka,32
git,streamlit,32
mdm,sql,32
aws,langchain,32
data engineer,talend,32
databricks,docker,32
gcp,pytorch,32
data management,machine learning,32
gcp,tensorflow,32
apis,aws,32
api,scala,32
git,rest,32
scrum,sql,32
data engineer,databricks,32
airflow,azure,31
llm,rigueur,31
devops,rest,31
power bi,qlik sense,31
anglais technique,machine learning,31
apis,rigueur,31
autonomie,kubernetes,31
kafka,machine learning,31
deep learning,docker,31
git,kafka,31
git,hadoop,31
agile,scala,31
ci/cd,dbt,31
data engineer,kafka,31
management,transformers,31
large language models,llms,31
big data,tensorflow,31
big data,pandas,30
apis,ci/cd,30
autonomie,databricks,30
langchain,llms,30
pandas,rag,30
llm,nlp,30
llm,pandas,30
keras,rigueur,30
gcp,scikit-learn,30
agile,nlp,30
llms,sql,30
agile,airflow,30
big data,data management,30
airflow,kafka,30
autonomie,mysql,30
aws,data management,30
docker,pandas,30
ci/cd,rest,30
ci/cd,tableau,30
rigueur,talend,30
autonomie,matplotlib,30
intelligence artificielle,power bi,30
ci/cd,qlik,30
anglais technique,intelligence artificielle,30
deep learning,rigueur scientifique,30
r,seaborn,30
dbt,gcp,30
intelligence artificielle,mlflow,29
nlp,spark,29
intelligence artificielle,rigueur scientifique,29
aws,datalake,29
autonomie,développement commercial,29
autonomie,rag,29
llm,sql,29
datalake,machine learning,29
pandas,spark,29
langchain,management,29
llm,tensorflow,29
bigquery,snowflake,29
e-commerce,management,29
data management,mdm,29
dbt,machine learning,29
docker,snowflake,29
plotly,python,29
power query,sql,29
azure,nlp,29
data management,git,29
rigueur,snowflake,29
deep learning,matplotlib,29
machine learning,plotly,29
ci/cd,deep learning,29
machine learning,transformers,29
autonomie,scrum,29
intelligence artificielle,keras,29
agile,qlik sense,29
api,tableau,28
matplotlib,rigueur,28
databricks,power bi,28
mdm,python,28
machine learning,rest,28
datalake,kubernetes,28
qlik sense,tableau,28
développement commercial,management,28
intelligence artificielle,langchain,28
ci/cd,data management,28
gcp,looker,28
datalake,java,28
python,scrum,28
mlflow,rigueur,28
agile,anglais technique,28
llm,scikit-learn,28
mysql,rigueur,28
deep learning,mlflow,28
ci/cd,numpy,28
pytorch,rag,28
rag,scikit-learn,28
bigquery,management,28
rigueur,transformers,28
dbt,git,28
autonomie,datalake,28
apis,rest,27
plotly,sql,27
autonomie,mlflow,27
qlik,snowflake,27
pandas,power bi,27
devops,llm,27
mlops,rag,27
azure,datalake,27
llms,pandas,27
power bi,scrum,27
agile,docker,27
scala,talend,27
intelligence artificielle,postgresql,27
autonomie,rest,27
azure,rest,27
azure,data management,27
kubernetes,tableau,27
kubernetes,nlp,27
docker,tableau,27
docker,hadoop,27
linux,mysql,27
rag,tensorflow,27
airflow,dbt,27
aws,qlik,26
api,machine learning,26
devops,pandas,26
intelligence artificielle,kubernetes,26
mlflow,pandas,26
agile,snowflake,26
keras,pandas,26
java,mysql,26
autonomie,llms,26
autonomie,mongodb,26
langchain,pandas,26
apis,devops,26
nlp,transformers,26
mlops,numpy,26
data management,qlik,26
management,numpy,26
aws,dbt,26
sql,transformers,26
data management,snowflake,25
keras,sql,25
data engineer,nlp,25
agile,databricks,25
azure,bigquery,25
autonomie,mdm,25
ci/cd,rag,25
intelligence artificielle,java,25
databricks,kubernetes,25
deep learning,gcp,25
kubernetes,snowflake,25
scikit-learn,transformers,25
deep learning,mlops,25
docker,llm,25
intelligence artificielle,matplotlib,25
bigquery,ci/cd,25
anglais technique,java,25
anglais technique,linux,25
docker,rest,25
docker,numpy,25
tensorflow,transformers,25
big data,qlik,25
llm,transformers,25
apis,tensorflow,25
hadoop,tableau,25
apis,intelligence artificielle,25
apis,gcp,25
api,r,25
mlops,scala,25
apis,pytorch,25
api,hadoop,24
aws,mlflow,24
scala,tableau,24
apis,java,24
api,rest,24
pandas,transformers,24
rest,rigueur,24
api,intelligence artificielle,24
llm,spark,24
langchain,transformers,24
autonomie,transformers,24
azure,mlflow,24
agile,kubernetes,24
langchain,rigueur,24
apis,mlops,24
bigquery,machine learning,24
mlflow,spark,24
kafka,mlops,24
rag,rigueur,24
deep learning,large language models,24
power query,python,24
dbt,power bi,24
databricks,intelligence artificielle,24
kafka,mongodb,24
anglais technique,mysql,24
anglais technique,postgresql,24
rigueur,scala,24
machine learning,mysql,24
datalake,kafka,24
data management,r,24
management,streamlit,23
snowflake,tableau,23
api,git,23
apis,llm,23
apis,pandas,23
apis,scikit-learn,23
big data,llm,23
git,talend,23
git,transformers,23
llm,rest,23
devops,power bi,23
matplotlib,nlp,23
postgresql,pytorch,23
aws,rest,23
management,postgresql,23
