comp1,comp2,weight
autonomie,benchmarks,11
apis,management,11
kubeflow,sql,11
kubeflow,machine learning,11
api,tensorflow,11
e-commerce,tableau,11
api,mlops,11
devops,mdm,11
ci/cd,gpt,11
aws,coder,11
keras,rigueur scientifique,11
agile,power query,11
management,maîtrise de l'anglais ,11
aws,kubeflow,11
kubernetes,tensorflow,11
data management,pandas,11
git,rigueur scientifique,11
kubernetes,pytorch,11
maîtrise de l'anglais ,rigueur,11
llms,spark,11
agile,llm,11
pandas,power query,11
kubeflow,kubernetes,11
plotly,tableau,10
plotly,power bi,10
qlik,scala,10
java script,power bi,10
java script,sql,10
java script,python,10
java script,tableau,10
coder,intelligence artificielle,10
kubeflow,management,10
data management,postgresql,10
databricks,langchain,10
agile,pandas,10
dbt,docker,10
data management,docker,10
kubeflow,spark,10
esprit de synthèse,python,10
apis,tableau,10
api,dbt,10
airflow,kubeflow,10
gcp,qlik,10
java,rest,10
java,mlops,10
apis,deep learning,10
databricks,dbt,10
databricks,gpt,10
hadoop,tensorflow,10
gcp,rag,10
datalake,talend,10
gcp,scrum,10
mongodb,postgresql,10
java,java script,10
datalake,scrum,10
datalake,rigueur,10
hadoop,mlops,10
gpt,nlp,10
nlp,snowflake,10
data engineer,java script,10
docker,kubeflow,10
data management,power query,10
gpt,sql,10
kubernetes,rag,10
aws,gpt,10
maîtrise de l'anglais ,sql,10
kubernetes,mlflow,10
qlik,rigueur,10
python,tableau software,10
big data,llms,9
airflow,mongodb,9
devops,plotly,9
esprit de synthèse,machine learning,9
datalake,qlik,9
ci/cd,transformers,9
azure,looker,9
excel,talend,9
big data,langchain,9
excel,intelligence artificielle,9
power bi,tableau software,9
data management,nlp,9
databricks,llms,9
databricks,postgresql,9
r,rigueur scientifique,9
java,mdm,9
airflow,deep learning,9
api,llm,9
airflow,tableau,9
airflow,apis,9
api,mdm,9
autonomie,kubeflow,9
api,kubeflow,9
esprit de synthèse,excel,9
aws,bert,9
dbt,r,9
dbt,power query,9
python,spacy,9
pandas,postgresql,9
data management,kubernetes,9
qlik,scrum,9
kubernetes,langchain,9
llms,power bi,9
dbt,kubernetes,9
llms,tableau,9
scala,scrum,9
intelligence artificielle,scrum,9
git,gpt,9
agile,kubeflow,9
agile,rigueur scientifique,9
rag,snowflake,9
aws,excel,9
git,kubeflow,9
benchmarks,intelligence artificielle,9
nlp,postgresql,9
nlp,plotly,9
mlops,transformers,9
machine learning,scrum,9
data engineer,kubeflow,9
deep learning,hadoop,9
data engineer,intelligence artificielle,9
kafka,kubeflow,9
plotly,postgresql,8
airflow,pandas,8
big data,qlik sense,8
airflow,gpt,8
hadoop,intelligence artificielle,8
data engineer,mdm,8
big data,plotly,8
data engineer,power query,8
mlops,plotly,8
bert,sql,8
bert,python,8
bert,plotly,8
docker,gpt,8
nlp,spacy,8
java,qlik,8
mysql,power bi,8
management,plotly,8
data engineer,looker,8
intelligence artificielle,qlik,8
kafka,qlik,8
kafka,scrum,8
azure,linux,8
azure,e-commerce,8
java,nlp,8
hadoop,pandas,8
devops,gpt,8
dbt,llms,8
docker,plotly,8
langchain,spark,8
mlflow,transformers,8
kubernetes,scrum,8
dbt,rag,8
langchain,postgresql,8
dbt,java,8
aws,plotly,8
apis,bigquery,8
apis,snowflake,8
pandas,tableau,8
devops,linux,8
gpt,spark,8
gpt,kubernetes,8
pandas,spacy,8
power query,rigueur,8
datalake,mdm,8
gcp,linux,8
airflow,scala,8
airflow,linux,8
looker,rigueur,8
power query,scrum,8
looker,snowflake,8
llms,postgresql,8
dbt,kafka,8
llms,snowflake,8
bert,mlops,8
bert,machine learning,8
azure,langchain,8
data management,gcp,8
autonomie,tableau software,8
api,deep learning,8
datalake,tableau,8
excel,maîtrise de l'anglais ,8
apis,excel,8
airflow,data management,8
bert,nlp,8
coder,sql,8
langchain,plotly,7
aws,mysql,7
développement commercial,r,7
data engineer,streamlit,7
bert,data management,7
bert,data engineer,7
data engineer,llms,7
data engineer,plotly,7
bert,ci/cd,7
intelligence artificielle,talend,7
dbt,gpt,7
aws,e-commerce,7
java,plotly,7
agile,mysql,7
azure,tableau software,7
dbt,langchain,7
postgresql,rest,7
benchmarks,management,7
benchmarks,python,7
api,datalake,7
data management,langchain,7
maîtrise de l'anglais ,python,7
langchain,tableau,7
data engineer,gpt,7
rag,tableau,7
langchain,snowflake,7
management,secteur aéronautique,7
product management,sql,7
cognos,sql,7
management,rest,7
aws,linux,7
java,llms,7
java,langchain,7
machine learning,spacy,7
bert,big data,7
data engineer,rag,7
deep learning,spacy,7
développement commercial,rigueur,7
data engineer,mysql,7
data engineer,langchain,7
mlops,rigueur scientifique,7
bert,git,7
kafka,snowflake,7
bert,databricks,7
postgresql,rag,7
big data,excel,7
data engineer,e-commerce,7
bert,docker,7
bert,java,7
big data,gpt,7
bert,gpt,7
airflow,tensorflow,7
plotly,snowflake,7
plotly,rag,7
bert,devops,7
bert,management,7
bert,kubernetes,7
bert,langchain,7
bert,llms,7
plotly,spark,7
spacy,sql,7
bert,dbt,7
excel,gcp,7
api,nlp,7
bert,tableau,7
ci/cd,plotly,7
databricks,plotly,7
tableau software,talend,7
mdm,scala,7
linux,power bi,7
databricks,scrum,7
bert,postgresql,7
bert,spark,7
bert,power bi,7
bert,rag,7
bert,snowflake,7
qlik sense,sql,7
apis,kubernetes,7
api,numpy,7
agile,streamlit,7
gpt,snowflake,7
gpt,power bi,7
gpt,tableau,7
llms,plotly,7
api rest,python,7
api rest,sql,7
airflow,plotly,7
kubernetes,plotly,7
data management,plotly,7
data management,rag,7
bigquery,postgresql,7
gcp,postgresql,7
airflow,bert,7
data management,dbt,7
gpt,java,7
data management,gpt,7
data management,mlops,7
linux,pytorch,7
looker,spark,7
anglais technique,devops,7
gpt,postgresql,7
autonomie,cognos,7
api,linux,7
databricks,nlp,7
api,scrum,7
data management,llms,7
power query,r,7
looker,tableau software,7
gpt,plotly,7
data engineer,qlik,6
deep learning,rest,6
langchain,spacy,6
mlops,spacy,6
git,scrum,6
deep learning,qlik,6
deep learning,linux,6
aws,développement commercial,6
dbt,rigueur,6
dbt,qlik,6
dbt,scala,6
scrum,streamlit,6
scrum,tableau,6
langgraph,python,6
cognos,rigueur,6
cognos,power bi,6
azure,llms,6
scikit-learn,tableau,6
mysql,talend,6
azure,mysql,6
azure,secteur aéronautique,6
gcp,langchain,6
dbt,scrum,6
java,llm,6
scikit-learn,spacy,6
intelligence artificielle,looker,6
airflow,mlflow,6
airflow,pytorch,6
big data,esprit de synthèse,6
big data,mdm,6
nltk,pandas,6
devops,looker,6
nltk,python,6
keras,spark,6
agile,llms,6
agile,api rest,6
power query,qlik,6
airflow,r,6
looker,talend,6
llm,power bi,6
programmation en python,python,6
pytorch,tableau,6
bigquery,pandas,6
kubernetes,rest,6
autonomie,maîtrise de l'anglais ,6
kubernetes,pandas,6
kubernetes,llm,6
agile,rag,6
management,tableau software,6
power query,streamlit,6
airflow,e-commerce,6
devops,tableau software,6
pytorch,spacy,6
numpy,tableau,6
anglais technique,management,6
esprit de synthèse,spark,6
kubernetes,transformers,6
devops,qlik,6
e-commerce,rigueur,6
r,streamlit,6
linux,transformers,6
api,mlflow,6
api rest,ci/cd,6
rigueur scientifique,sql,6
anglais technique,azure,6
excel,scrum,6
api,langchain,6
databricks,mdm,6
spacy,transformers,6
nltk,sql,6
nltk,spacy,6
nltk,rigueur,5
nltk,scikit-learn,5
nltk,transformers,5
spacy,tensorflow,5
llamaindex,machine learning,5
llamaindex,python,5
autonomie,coder,5
e-commerce,snowflake,5
linux,talend,5
linux,pandas,5
r,snowflake,5
api,databricks,5
api,bigquery,5
mdm,spark,5
mdm,rigueur,5
anglais technique,ci/cd,5
devops,secteur aéronautique,5
devops,gérer des bases de données,5
autonomie,sig,5
e-commerce,r,5
google analytics 4,looker,5
google analytics 4,sql,5
google analytics 4,tableau,5
ci/cd,looker,5
mlflow,power bi,5
spark,tableau software,5
e-commerce,scrum,5
api rest,devops,5
api rest,git,5
api rest,rigueur,5
api,mongodb,5
api,secteur aéronautique,5
api,nltk,5
apis,postgresql,5
autonomie,secteur aéronautique,5
pytorch,qlik,5
anglais technique,power bi,5
numpy,postgresql,5
data management,hadoop,5
data management,scala,5
llm,snowflake,5
api,spacy,5
api,transformers,5
api,excel,5
airflow,mysql,5
bigquery,google analytics 4,5
bigquery,qlik,5
bigquery,numpy,5
gcp,mysql,5
gcp,mdm,5
gcp,matplotlib,5
kubernetes,scikit-learn,5
anglais technique,docker,5
anglais technique,benchmarks,5
anglais technique,pytorch,5
anglais technique,pandas,5
pandas,qlik,5
devops,e-commerce,5
qlik,scikit-learn,5
pandas,seaborn,5
looker,numpy,5
looker,pandas,5
tableau,tensorflow,5
airflow,gérer des bases de données,5
matplotlib,power bi,5
agile,tableau software,5
agile,langchain,5
maîtrise de l'anglais ,r,5
aws,langgraph,5
aws,gérer des bases de données,5
dbt,rest,5
agile,sig,5
scrum,talend,5
rag,rigueur scientifique,5
agile,mdm,5
airflow,transformers,5
airflow,qlik,5
seaborn,sql,5
mlflow,nltk,5
agile,linux,5
agile,product management,5
agile,numpy,5
agile,mongodb,5
gcp,gérer des bases de données,5
docker,scrum,5
azure,gérer des bases de données,5
gcp,gpt,5
mlflow,spacy,5
java,tensorflow,5
mlflow,rigueur scientifique,5
excel,snowflake,5
rigueur,secteur aéronautique,5
rigueur,spacy,5
machine learning,nltk,5
intelligence artificielle,llamaindex,5
management,mysql,5
management,programmation en python,5
benchmarks,pytorch,5
deep learning,nltk,5
nlp,nltk,5
mlops,qlik,5
mlops,nltk,5
langchain,llamaindex,5
langchain,mlflow,5
data engineer,gérer des bases de données,5
postgresql,r,5
postgresql,scala,5
deep learning,llamaindex,5
power bi,product management,5
hadoop,snowflake,5
airflow,anglais technique,5
big data,keras,5
big data,gérer des bases de données,5
nltk,pytorch,5
airflow,scikit-learn,5
airflow,llm,5
gérer des bases de données,hadoop,5
gérer des bases de données,java,5
gérer des bases de données,kafka,5
gérer des bases de données,python,5
gérer des bases de données,spark,5
gérer des bases de données,sql,5
