competence,chi2_score,p_value
MySQL,92.46209092982144,2.041219474153905e-18
Data management,90.09947107794467,6.4036739592800336e-18
HTML,87.57150195916276,2.173923019814349e-17
management,80.44720075722194,6.765346928982558e-16
PostgreSQL,73.03937347821872,2.3854420192933207e-14
LlamaIndex,68.72395833333273,1.8883380936308597e-13
Agile,68.4810375044622,2.1212351856987586e-13
Angular,68.35286453535134,2.2554642397451355e-13
Matplotlib,67.03780829687292,4.231648513636346e-13
rigueur,66.31781533917083,5.970729399895474e-13
Windows,63.63537334321816,2.1499567666606922e-12
SQL,63.61765617659726,2.1682091439946312e-12
Rigueur scientifique,58.73953216948398,2.2134684103412154e-11
GPT,56.96325244154577,5.1459217762810215e-11
Keras,56.79796229080542,5.5658024055630353e-11
SPRING,56.213574299090666,7.34383227945095e-11
Spring,56.213574299090666,7.34383227945095e-11
MongoDB,55.56353545766077,9.994612847076223e-11
Javascript,55.06005949702718,1.2687467972847118e-10
Scrum,54.68083560632988,1.5183820385226256e-10
NLTK,54.17713994565169,1.9272845618449638e-10
CSS,52.591736722523514,4.0791968273906766e-10
PHP,49.62040623886182,1.6571356592844857e-09
Bonne communication,46.955518065369176,5.801340418522896e-09
e-commerce,46.45358303577657,7.341994892180109e-09
Spring ,46.10384877728267,8.650531045197586e-09
spaCy,44.38775931821826,1.9321596341178108e-08
Tableau Software,44.21917459239091,2.090648713190135e-08
REST,36.77678978140763,6.639330949122185e-07
Power Query,34.99754951351621,1.50634590935764e-06
REACT,34.89762724847031,1.577114741429928e-06
React,34.89762724847031,1.577114741429928e-06
autonomie,33.60984947267726,2.8470333693608816e-06
Java Script,32.45786516853973,4.821188485655609e-06
API,31.97843968094567,5.999952299987562e-06
.Net,25.582474223662537,0.00010750827131909001
MDM,24.08553558345569,0.0002090477155239408
go,23.947693015541397,0.00022219582273287934
Biologie,21.58924708008404,0.0006265916121195087
SIG,20.910297785531075,0.0008422852591018635
Kubeflow,20.11008890189143,0.0011916529100781223
Informatique,20.002156059370694,0.0012485668370306891
CIEL,19.691941647284427,0.001427450134831364
Hibernate,19.649606140116937,0.0014537393225201795
Analyse statistique,19.330166254326432,0.0016680481190204555
API REST,18.986089676891993,0.0019336377054281944
RQTH,18.194532342531584,0.00271222735519269
Redis,17.778688524590244,0.0032369486155020342
Optimisation de performances,17.435797028940723,0.0037433257440704784
Cobol,16.513024848381445,0.0055222431975229715
Logiciels comptables,15.341161036159,0.008999867996612468
KOTLIN,14.665401938183109,0.011891913525199646
Product Management,14.64280790132741,0.012002735155066772
LangGraph,13.92589886387402,0.016087031178956105
Vue.js,13.750299675856352,0.017275812830915806
Azure Databricks,13.744791666666547,0.017314438826912987
Business Object,12.605909562774988,0.027365433586629902
C#.net,11.811291683739308,0.03746703803086033
Algorithmique,11.720659042407867,0.038822493575881835
Conduite de projets ,10.095224282922903,0.07258163486909074
Gestion de projets informatiques,10.061285332097349,0.07351726082788056
GraphQL,9.40503710233409,0.09395895358454429
Seaborn,8.865640096618284,0.1145448326601824
JPA,7.571198326447995,0.18150495848326398
Langage objet,7.412208479703298,0.191743903703374
React.js,7.351772975433999,0.1957652019823944
Analyse de risque,6.854933297341953,0.23165460135187968
Coder,6.540453968104691,0.25712053545435704
XGBoost,6.4915730337079465,0.26127934028246247
Animer des sessions de formation,6.302954781387494,0.2778460974472537
Esprit logique,6.270024734889394,0.28082392924633093
BERT,6.214673913043564,0.2858871592881492
Cognos,5.988992992819364,0.3072914221083296
Cassandra,5.171455277923096,0.3953161156182321
UX design,5.079625292740068,0.4062401665984465
Connaissances en Robotisation,5.079625292740068,0.4062401665984465
Ingenieur AUTOMATICIEN,5.079625292740068,0.4062401665984465
PLSQL,5.079625292740068,0.4062401665984465
B to B,5.038362288308147,0.41121637779057435
jQuery,5.026025083546063,0.4127123191890902
